iter	Passed	Remaining
0	1	173
1	3	157
2	4	145
3	5	129
4	6	125
5	8	128
6	9	129
7	14	163
8	15	160
9	17	153
10	18	148
11	19	143
12	20	139
13	22	137
14	23	134
15	25	131
16	26	130
17	28	128
18	29	126
19	31	124
20	32	122
21	33	120
22	35	117
23	36	115
24	37	113
25	39	111
26	44	120
27	46	118
28	47	116
29	49	114
30	50	112
31	52	110
32	53	108
33	54	106
34	56	105
35	58	103
36	59	102
37	61	100
38	63	99
39	64	96
40	65	94
41	66	91
42	68	90
43	71	91
44	74	91
45	76	90
46	78	88
47	80	87
48	81	85
49	90	90
50	92	88
51	94	87
52	96	85
53	97	82
54	99	81
55	102	80
56	103	78
57	105	76
58	106	74
59	108	72
60	109	70
61	111	68
62	112	66
63	114	64
64	116	62
65	119	61
66	120	59
67	122	57
68	124	55
69	125	53
70	127	52
71	129	50
72	131	48
73	132	46
74	134	44
75	136	42
76	137	41
77	139	39
78	140	37
79	142	35
80	144	33
81	148	32
82	149	30
83	151	28
84	153	27
85	155	25
86	156	23
87	158	21
88	161	19
89	163	18
90	164	16
91	165	14
92	167	12
93	168	10
94	170	8
95	171	7
96	173	5
97	174	3
98	176	1
99	177	0
